order_id,date,product,category,region,channel,sales_rep,units,unit_price,discount_pct,revenue
ORD-100001,2025-01-01,Vitality Fitness Band,Wearables,North America,Retail,Maya Chen,3,79.00,0,237.00
ORD-100002,2025-01-01,Glow Smart Bulb 4-Pack,Smart Home,North America,Online,Maya Chen,2,49.00,0,98.00
ORD-100003,2025-01-01,VoltCharge 65W GaN Charger,Accessories,APAC,Online,Kenji Watanabe,2,45.00,5,85.50
ORD-100004,2025-01-01,Pulse Wireless Earbuds,Audio,APAC,Online,Kenji Watanabe,1,129.00,10,116.10
ORD-100005,2025-01-01,Vitality Fitness Band,Wearables,North America,Online,Maya Chen,1,79.00,0,79.00
ORD-100006,2025-01-01,Pulse Wireless Earbuds,Audio,Europe,Distributor,Sofia Lindqvist,34,129.00,20,3508.80
ORD-100007,2025-01-02,SentryCam Security Camera,Smart Home,APAC,Retail,Kenji Watanabe,2,139.00,0,278.00
ORD-100008,2025-01-02,BoomBar Bluetooth Speaker,Audio,North America,Distributor,Maya Chen,16,89.00,35,925.60
ORD-100009,2025-01-02,Vitality Fitness Band,Wearables,Europe,Online,Tomás Ribeiro,1,79.00,0,79.00
ORD-100010,2025-01-02,VoltCharge 65W GaN Charger,Accessories,Europe,Retail,Sofia Lindqvist,1,45.00,0,45.00
ORD-100011,2025-01-02,Resonance Over-Ear Headphones,Audio,North America,Retail,Maya Chen,3,249.00,0,747.00
ORD-100012,2025-01-02,BoomBar Bluetooth Speaker,Audio,North America,Online,Derek Holt,1,89.00,5,84.55
ORD-100013,2025-01-03,BoomBar Bluetooth Speaker,Audio,Europe,Online,Tomás Ribeiro,1,89.00,0,89.00
ORD-100014,2025-01-03,SentryCam Security Camera,Smart Home,APAC,Distributor,Kenji Watanabe,35,139.00,30,3405.50
ORD-100015,2025-01-03,BoomBar Bluetooth Speaker,Audio,Latin America,Online,Diego Fuentes,1,89.00,0,89.00
ORD-100016,2025-01-04,ClimaSense Thermostat,Smart Home,APAC,Retail,Kenji Watanabe,1,179.00,0,179.00
ORD-100017,2025-01-04,Glow Smart Bulb 4-Pack,Smart Home,North America,Retail,Maya Chen,1,49.00,5,46.55
ORD-100018,2025-01-04,VoltCharge 65W GaN Charger,Accessories,APAC,Online,Kenji Watanabe,1,45.00,0,45.00
ORD-100019,2025-01-05,BoomBar Bluetooth Speaker,Audio,Europe,Online,Sofia Lindqvist,1,89.00,0,89.00
ORD-100020,2025-01-05,MagGrip Phone Stand,Accessories,Europe,Online,Sofia Lindqvist,2,25.00,0,50.00
ORD-100021,2025-01-05,MagGrip Phone Stand,Accessories,Europe,Retail,Sofia Lindqvist,1,25.00,0,25.00
ORD-100022,2025-01-05,Horizon Smartwatch,Wearables,Latin America,Online,Diego Fuentes,1,299.00,0,299.00
ORD-100023,2025-01-05,Pulse Wireless Earbuds,Audio,APAC,Distributor,Priya Nair,44,129.00,25,4257.00
ORD-100024,2025-01-05,Resonance Over-Ear Headphones,Audio,Europe,Online,Sofia Lindqvist,3,249.00,0,747.00
ORD-100025,2025-01-05,BoomBar Bluetooth Speaker,Audio,Europe,Retail,Sofia Lindqvist,1,89.00,0,89.00
ORD-100026,2025-01-05,Horizon Smartwatch,Wearables,APAC,Online,Kenji Watanabe,1,299.00,0,299.00
ORD-100027,2025-01-05,ClimaSense Thermostat,Smart Home,North America,Online,Maya Chen,2,179.00,0,358.00
